0:37,Cosmopolitan,7.5
0:37,Baraki Special,8
0:37,Greek Lover,8.5
0:37,Sex On The Beach,7
0:37,Big Beer,4
0:37,Big Beer,4
23:9,Greek Lover,8.5
23:9,Baraki Special,8
23:9,Cosmopolitan,7.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Greek Lover,8.5
23:9,Baraki Special,8
23:9,Cosmopolitan,7.5
23:9,Greek Lover,8.5
23:9,Big Beer,4
23:9,Big Beer,4
23:9,Big Beer,4
